Ticker,Close_2020,Volatility_2020_%,Avg_Volume_2020,Return_2020_%,Momentum_6M_%,RSI_2020,Distance_from_MA_%,ROE_%,Operating_Margin_%,Debt_to_Equity,Revenue_Growth_%,Market_Cap_2020,Sector,Basic_Qualified
COP,33.41790008544922,72.78683457416278,9560083.333333334,-36.42408088610164,-2.069996745840047,36.85240181223023,6.7542410572045215,15.421000000000001,19.543,0.36168999999999996,14.000000000000002,124219801600,Energy,True
COST,354.29534912109375,29.237804727194174,2759551.587301587,32.945124629720304,26.193778546878292,50.255875125926856,1.449758561974524,30.325000000000003,3.659,0.26968,8.3,424450195456,Consumer Defensive,True
CPB,39.85938262939453,32.32052315068907,2412821.8253968256,1.9484252429457907,-1.2355553581108574,58.149798910991414,-0.34035289176004635,14.815000000000001,14.232,1.8456700000000001,-3.4000000000000004,8000432128,Consumer Defensive,True
CRM,219.73020935058594,53.06031022057456,7529498.015873016,33.181610551433934,15.514457156439034,53.41032197307662,-7.217824687850307,12.184000000000001,23.862,0.19385000000000002,8.6,222272962560,Technology,True
CSCO,38.17611312866211,42.015243403483694,25068138.492063493,-5.673569955307378,-1.6211469473094802,47.15446860688931,7.296553865680375,22.418,23.604,0.6322800000000001,7.5,297714974720,Technology,True
CSX,28.15171241760254,46.09243326121142,13323698.80952381,25.06322174361947,32.00049510453762,44.24344058832885,2.7492636415490974,22.589001,35.071000000000005,1.55283,-0.8999999999999999,67533430784,Industrials,True
CTVA,36.370513916015625,50.83600634929859,4645021.031746032,36.30175712576535,40.61698809713346,45.04348350445564,5.06576129494384,6.705,-10.313,0.17175,12.6,47856181248,Basic Materials,True
CVS,57.6177978515625,39.6413712734289,8726850.396825397,-5.739930586282185,6.427305473641236,15.839165158672131,1.8267252684229236,0.57800002,2.2650002,1.11821,7.8,103179468800,Healthcare,True
CVX,68.99398803710938,61.25701268303211,11212182.936507937,-25.747360154837857,-0.5391653199082027,33.00068241987216,3.3665718314678523,7.316000000000001,9.8529994,0.21239,-1.4000000000000001,335729852416,Energy,True
D,59.445987701416016,45.03641851931461,4133473.8095238097,-5.802510956374101,-8.649359096785524,48.32858313465456,-5.939491825206524,9.203999999999999,34.504002,1.54315,14.899999999999999,51529396224,Utilities,True
