Ticker,Close_2020,Volatility_2020_%,Avg_Volume_2020,Return_2020_%,Momentum_6M_%,RSI_2020,Distance_from_MA_%,ROE_%,Operating_Margin_%,Debt_to_Equity,Revenue_Growth_%,Market_Cap_2020,Sector,Basic_Qualified
ES,70.46284484863281,45.2740565132381,1775658.3333333333,5.30199180565714,2.150809744586089,49.30208559944326,-3.185995786288962,8.61,22.489001000000002,1.84357,5.1,26135676928,Utilities,False
ESS,198.17498779296875,50.36001057814434,510311.50793650793,-17.783134433821026,1.565421450567937,35.87292640175394,0.9700808694128427,15.987000000000002,33.777002,1.15144,6.2,17509894144,Real Estate,False
ETN,109.93546295166016,51.84257143282254,2341219.8412698414,27.422993309025674,37.11390785733949,54.55723828780181,4.300048992600603,20.653,19.791001,0.59661,10.100000000000001,129815977984,Industrials,True
ETR,41.01416778564453,46.958553787541305,2755807.9365079366,-13.414811022641077,3.6761001898481758,30.41721382880138,-6.118502675996288,11.187999999999999,30.055,1.79362,12.5,42725924864,Utilities,True
EW,89.63999938964844,44.36265887997046,3446259.523809524,15.664515341481856,29.556288808575093,65.05550865743697,8.127146693256513,13.492,27.371000000000002,0.06862,14.7,49592340480,Healthcare,True
EXC,25.054121017456055,49.105219890266596,8617023.575396825,-4.189154059722081,14.013607603259388,58.71360652296143,0.32730658386271577,10.308,22.177,1.77601,9.0,44590940160,Utilities,True
F,6.722535610198975,56.606318935166925,76852921.82539682,-4.345241039400807,46.446256319037296,32.54437803811439,2.6127870964228688,10.295,3.1460000000000004,3.46673,9.4,55006007296,Consumer Cyclical,True
FANG,39.8881721496582,103.54751925461996,3565738.888888889,-44.90521951300732,20.960164894911653,55.11063964268806,28.149453140580256,10.901,36.628,0.3566,42.0,43660296192,Energy,True
FAST,21.744281768798828,39.070459076453716,8484137.301587302,36.24134902558039,13.578421878599055,45.40971275511788,3.933963155172081,32.742,20.696,0.13283,11.700000000000001,49973993472,Industrials,True
FCX,24.829925537109375,71.9527211756192,23312412.698412698,101.73033935955655,130.6956276569672,67.10748016457157,21.945621439223313,14.538999,28.055000000000003,0.30589,2.7,86129704960,Basic Materials,True
FDX,236.15667724609375,52.59600212477643,3075817.4603174604,70.13640141238342,68.06506563889535,15.866065990200198,-6.714099534353707,15.886,7.64,,13.900000000000002,73876471808,Industrials,True
FE,24.489824295043945,53.076375824869885,6209334.523809524,-33.799512106239035,-22.503770478702922,44.373555486735626,1.6113575324488503,11.192001,20.636,1.93669,11.200000000000001,26913437696,Utilities,True
FITB,22.662879943847656,73.77315747015922,6857104.365079365,-7.264716884780007,50.27517008893418,48.1386124055503,6.768341140907422,11.5109995,39.780998000000004,,6.7,32404658176,Financial Services,True
FMC,97.54285430908203,51.433135208659856,799870.2380952381,16.378085180927524,13.747569933987972,33.50064878804764,1.909615883458541,-11.455,-18.775,1.22645,-49.1,1931264256,Basic Materials,False
